Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
SYV,191,800,0.75,1168.9,0.09098,0.034692,0.036257,0.091252,0.15503,0.03248,0.11954,0,0.0156,0.0088092,0.0020641,0.029616,0.0065151,0.073474,NaN,0.019497,0.074474,0.26472,0.021254,0.066574
SYV,191,830,0.89,1361.3,0.13931,0.051483,0.041731,0.15997,0.21077,0.056458,0.17766,0.00084332,0.045805,0.033646,0.013821,0.042933,0.014191,0.12737,NaN,0.035881,0.12975,0.29236,0.034664,0.11824
SYV,191,900,1.06,1528.7,0.19247,0.075145,0.04379,0.25192,0.26355,0.074601,0.21291,0.013849,0.085469,0.07211,0.035687,0.091971,0.029211,0.15925,NaN,0.074262,0.16359,0.30847,0.058055,0.17491
SYV,191,930,1.2,1674.3,0.23071,0.10042,0.047017,0.31365,0.29816,0.08654,0.23955,0.04035,0.11138,0.1112,0.063167,0.18078,0.047187,0.19033,NaN,0.15327,0.18406,0.32253,0.081441,0.23216
SYV,191,1000,1.3,1680.5,0.26848,0.13135,0.053076,0.35205,0.34047,0.10859,0.26075,0.080334,0.1294,0.14958,0.085329,0.2487,0.064764,0.2091,NaN,0.25222,0.2057,0.3389,0.10071,0.28518
SYV,191,1030,1.37,1902.3,0.29597,0.16133,0.061825,0.38888,0.35776,0.12345,0.27229,0.11119,0.14234,0.17762,0.096681,0.25334,0.084288,0.22162,NaN,0.27891,0.24011,0.34551,0.1092,0.32045
SYV,191,1100,1.51,1877.4,0.33252,0.18557,0.072181,0.41894,0.37786,0.13872,0.28039,0.12562,0.15186,0.19337,0.09928,0.30063,0.10819,0.22799,NaN,0.29678,0.28571,0.34938,0.11253,0.34626
SYV,191,1130,1.56,1772.3,0.33986,0.20014,0.079275,0.42202,0.37928,0.14808,0.28103,0.13065,0.1549,0.20301,0.10293,0.31238,0.1314,0.22599,NaN,0.30394,0.25674,0.35201,0.11223,0.36388
SYV,191,1200,1.71,2011.3,0.36621,0.21229,0.088468,0.4347,0.39168,0.1627,0.29072,0.13297,0.16527,0.21332,0.10767,0.34279,0.13577,0.24354,NaN,0.31513,0.24197,0.35618,0.11238,0.37439
SYV,191,1230,1.8,1906.2,0.37173,0.21779,0.096036,0.43716,0.4008,0.16526,0.2921,0.13345,0.17156,0.22252,0.11607,0.33982,0.14347,0.2345,NaN,0.31964,0.25309,0.3596,0.11139,0.38289
SYV,191,1300,1.81,1878.4,0.37596,0.21667,0.10113,0.41843,0.38562,0.1622,0.27447,0.13063,0.16329,0.23028,0.12056,0.31498,0.16137,0.22992,NaN,0.3044,0.26225,0.35379,0.10609,0.38201
SYV,191,1330,1.84,1688.3,0.37137,0.21941,0.10318,0.45368,0.40974,0.16893,0.28601,0.1291,0.16555,0.23708,0.12554,0.32862,0.20724,0.23818,NaN,0.31504,0.24993,0.36105,0.099511,0.38585
SYV,191,1400,1.87,1668.9,0.36811,0.22022,0.10782,0.44598,0.39022,0.16784,0.2791,0.13453,0.16466,0.24023,0.13037,0.3488,0.25689,0.23434,NaN,0.31218,0.24484,0.3614,0.09588,0.38388
