"","FETCH_MAX","FETCH_90","ZL","RH_1_1_1","PPFD_IN_1_1_1"
"491",-9999,-9999,-9999,-9999,-9999
"492",-9999,-9999,-9999,-9999,-9999
"493",-9999,-9999,-9999,-9999,-9999
"494",-9999,-9999,-9999,-9999,-9999
"495",-9999,-9999,-9999,-9999,-9999
"496",-9999,-9999,-9999,-9999,-9999
"497",-9999,-9999,-9999,-9999,-9999
"498",-9999,-9999,-9999,-9999,-9999
"499",-9999,-9999,-9999,-9999,-9999
"500",-9999,-9999,-9999,-9999,-9999
"501",-9999,-9999,-9999,-9999,-9999
"502",-9999,-9999,-9999,-9999,-9999
"503",-9999,-9999,-9999,-9999,-9999
"504",-9999,-9999,-9999,-9999,-9999
"505",-9999,-9999,-9999,-9999,-9999
"506",-9999,-9999,-9999,-9999,-9999
