Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
1,2,730,0,0,0.0037087,0.003721,0.0090894,0.016975,0.010487,0.0038435,0,0.0050344,0.0027035,0.00049733,0.0053463,0.010459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,800,0,0,0.0059398,0.0028859,0.0087868,0.0060288,0.0080983,0.0019144,0.00073174,0.003744,0.0024825,0.0010357,0.0050754,0.0091419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,830,0,0,0,0.0020381,0.008606,0.0033537,0.0062305,0.00081473,0.00063048,0.0040285,0.0020132,0.0012123,0.0055193,0.006919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,900,0,0,0,0.0025172,0.0089827,0.0045857,0.0066031,0.00086845,8.79E-05,0.0042368,0.0021401,0.0012846,0.0054535,0.0079932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,930,0,0,0,0.003109,0.010592,0.011313,0.011188,0.0016854,0.00036344,0.0043593,0.0016858,0.0012438,0.0062247,0.01012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1000,0,0,0.012347,0.0041446,0.012484,0.022482,0.024147,0.0050293,0.0012774,0.0042208,0.0022857,0.0025994,0.0074184,0.014523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1030,0,0,0.034671,0.0052865,0.015757,0.036003,0.045272,0.0092377,0.0041906,0.0024023,0.0025301,0.0051197,0.0077712,0.019261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1100,0,0,0.045404,0.0048005,0.017546,0.037555,0.052365,0.0095462,0.0061344,0,0.0026806,0.0054499,0.0044977,0.018094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1130,0,0,0.058238,0.0062007,0.022003,0.047379,0.064954,0.012348,0.0075474,0,0.0024942,0.007786,0.0028112,0.016337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1200,0,0,0.07731,0.0049548,0.024384,0.064547,0.084779,0.016258,0.011084,0,0.003475,0.01143,0.0050641,0.012173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1230,0,0,0.083869,0.0018729,0.036049,0.072732,0.093982,0.018565,0.013736,0,0.0047144,0.014646,0.0049532,0.0022848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1300,0,0,0.089104,0,0.041572,0.074808,0.09665,0.016264,0.016234,0,0.0050358,0.01575,0,0.0019499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1330,0,0,0.090609,0.0029784,0.03526,0.07283,0.087,0.015373,0.016025,0,0.0042965,0.015181,0,0.0032315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1400,0,0,0.093013,0.005499,0.035573,0.077428,0.076023,0.0065913,0.017209,0,0.0037856,0.014249,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1430,0,0,0.089121,0.0042792,0.046598,0.068757,0.069964,0.0085471,0.015214,0,0.0019854,0.012482,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1500,0,0,0.093496,0.0047093,0.041955,0.061715,0.068076,0.0068928,0.013879,0,0.00054239,0.0089579,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1530,0,0,0.079642,0.0030475,0.033055,0.052338,0.062686,0.0048547,0.011615,0,0,0.0040515,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1600,0,0,0.07967,0.0034518,0.028654,0.052841,0.05921,0.0063198,0.010912,0,0,0.0026476,0,0.0069099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1630,0,0,0.063897,0.0017791,0.02136,0.043976,0.049061,0.0046505,0.0099334,0,0,0.0020597,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1700,0,0,0.05948,0.0023962,0.016645,0.043519,0.040077,0.0057271,0.0088603,0,0,0.0026263,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1730,0,0,0.045058,0.00026181,0.0078675,0.028637,0.024972,0.0019772,0.006027,0,0,0.0013129,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1800,0,0,0.038466,0,0.0021839,0.027487,0.019979,0.0019606,0.0043926,0,0,0.00069674,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1830,0,0,0.036975,0.00013613,0,0.028755,0.018491,0.0025496,0.0039429,0,0,0.00031122,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1900,0,0,0.035647,0.00018075,0,0.029101,0.019673,0.0029106,0.0039473,0,0,0.00096488,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,1930,0,0,0.036596,0.00055073,0,0.03199,0.021526,0.0036508,0.0042231,0,0,0.0012714,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2000,0,0,0.03332,0.00037663,0,0.030482,0.022309,0.0036306,0.0042262,0,0,0.0012303,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2030,0,0,0.032805,0.00052791,0,0.027026,0.024035,0.0031537,0.0045922,0,0,0.001073,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2100,0,0,0.035379,0.00090266,0,0.030712,0.030521,0.0049645,0.0075178,0,0.00015449,0.0030066,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2130,0,0,0.028251,0.00096155,0,0.021689,0.02307,0.00397,0.0069876,0,0.00099458,0.0027488,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2200,0,0,0.024701,0.0012262,0,0.027508,0.01824,0.0055524,0.0058994,0,0.0012431,0.0017844,0,0.00046614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2230,0,0,0.02038,0.0004039,0,0.01607,0.01557,0.0032534,0.0053599,0,0.0012598,0.0012845,0,0.00064949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2300,0,0,0.010777,0.00055735,0.00060551,0.011175,0.0059855,0.0025523,0.0032758,0,0.0010418,0.00078263,0,0.00097676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2330,0,0,0.0042469,0.00016397,0,0.0030464,0.001702,0.00063962,0.0016488,0,8.92E-06,0.00050876,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,0,0,0,0.00051695,8.21E-05,0,0,0,0,0.00028317,0,0,0.00010506,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,30,0,0,0,0,0.00040258,0.0044658,0.00065256,0.00099245,0,5.75E-05,0,0,0.00027957,0.0008746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,100,0,0,0.00028568,0.00070352,0.0022793,0.0077656,0.0025994,0.001917,0.00044519,0.0005581,0,0,0.00056544,0.0032251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,130,0,0,0.0020946,0.00075154,0.0034893,0.008763,0.0048093,0.002612,0.00052625,0.00079259,0,0,0.0010521,0.0052871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,200,0,0,0.0014655,0.0010224,0.0052454,0.0051523,0.0070352,0.0027826,0.00061286,0.0011203,0.00023906,0.0002354,0.0017501,0.0069186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,230,0,0,0.001909,0.0012967,0.0070115,0.0060437,0.0084911,0.0032597,0.00079271,0.0015391,0.00048152,0.00053439,0.002144,0.0081129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,300,0,0,0.0035812,0.0014647,0.0077043,0.013012,0.0094308,0.0046519,0.00070483,0.0017852,0.00084272,0,0.0022327,0.0097594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,330,0,0,0.0044982,0.0014239,0.007731,0.011485,0.011037,0.0043811,0.0015268,0.0016013,0.0010964,0,0.0020218,0.009332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,400,0,0,0.005569,0.0013819,0.0084325,0.012507,0.013305,0.0049457,0.0016265,0.001504,0.0014653,0.00018555,0.0020151,0.0096477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,430,0,0,0.0061724,0.0017677,0.008586,0.017878,0.014519,0.0057324,0.0020801,0.0015749,0.0018272,0,0.0020013,0.0098074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,500,0,0,0.0069435,0.001949,0.0092948,0.018806,0.014823,0.0056941,0.0023662,0.001308,0.0022024,0,0.0024111,0.010278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,530,0,0,0.00694,0.0020178,0.0093224,0.016591,0.016448,0.0056523,0.002468,0.0013881,0.0024577,0.00053559,0.0024064,0.010746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,600,0,0,0.007708,0.0020862,0.0093497,0.016618,0.017015,0.0061436,0.0024792,0.0015555,0.00248,0.00026926,0.0020933,0.011363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,630,0,0,0.0063122,0.00226,0.0093735,0.02068,0.014927,0.0062504,0.0024868,0.0015443,0.0024992,0,0.0027015,0.012277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,700,0,0,0.0073872,0.0016751,0.0083159,0.015773,0.014566,0.0054455,0.002588,0.0010101,0.0025213,0,0.0024904,0.010503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,730,0,0,0.0083173,0.0017505,0.0084855,0.013692,0.015006,0.0055627,0.0026062,0.0010092,0.0025508,0.00070828,0.002801,0.01053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,800,0,0,0.0087693,0.0018113,0.0086404,0.019407,0.014109,0.0063515,0.0027,0.001432,0.0025658,0.00018667,0.0024798,0.011587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,830,0,0,0.0061434,0.0022073,0.0088043,0.025082,0.012431,0.0073795,0.0025319,0.0016007,0.0025895,0,0.0027846,0.011907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,900,0,0,0.0064405,0.0019423,0.0080116,0.026237,0.010358,0.0071007,0.0020849,0.0014981,0.0026049,0,0.0019507,0.010725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,930,0,0,0.0064377,0.0021208,0.0083107,0.026719,0.011575,0.0074418,0.0021873,0.0014914,0.0026286,0,0.0018442,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1000,0,0,0.0092124,0.0020806,0.0077965,0.022548,0.013191,0.0064829,0.0025598,0.00069521,0.0026513,0,0.0018394,0.0092759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1030,0,0,0.0098325,0.0022628,0.0093199,0.022805,0.014949,0.0068273,0.0024855,0.0011301,0.0025624,0,0.0019421,0.010641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1100,0,0,0.01154,0.0022277,0.0096242,0.01599,0.017512,0.0058751,0.0031342,0.00042718,0.0023578,0.00033795,0.0016345,0.0087309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1130,0,0,0.013412,0.0024125,0.01102,0.029923,0.018088,0.0075961,0.0034242,0.00033936,0.0016911,0,0.00091964,0.0084614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1200,0,0,0.016541,0.0023777,0.012282,0.033979,0.0204,0.0083245,0.0036215,0,0.0013709,0,0,0.0074481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1230,0,0,0.017495,0.0015927,0.011916,0.029538,0.020454,0.0073044,0.0037398,0,0.00083018,0,0,0.0039398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1300,0,0,0.019867,0.0014584,0.012095,0.032332,0.022517,0.0074294,0.0038559,0,0.00051977,0,0,0.0017711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1330,0,0,0.023203,0.00099876,0.01091,0.03387,0.022435,0.0069435,0.0041531,0,0.00032539,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1400,0,0,0.022095,0.0010771,0.01163,0.03761,0.022483,0.0082111,0.0047175,0,0.00058965,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1430,0,0,0.020209,0.00062103,0.010312,0.036492,0.020124,0.0080334,0.0042937,0,0.00051408,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1500,0,0,0.020695,0.00038175,0.0092692,0.033761,0.019243,0.0066335,0.0043225,0,0.00066997,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1530,0,0,0.020065,0.00056609,0.0082182,0.036915,0.016623,0.0072862,0.0043413,0,0.00035292,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1600,0,0,0.01991,0.00075161,0.0074411,0.036601,0.016402,0.0074819,0.0039995,0,0.00073151,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1630,0,0,0.018178,0.00071754,0.0073387,0.036748,0.01525,0.0072163,0.0039262,0,0.00076003,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1700,0,0,0.016605,0,0.0054744,0.031929,0.014096,0.0059547,0.0041191,0,0.00089928,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1730,0,0,0.014888,0,0.0041626,0.030931,0.012688,0.0056174,0.0040491,0,0.0013948,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1800,0,0,0.013328,6.98E-05,0.0025803,0.028104,0.012595,0.0056551,0.0043351,0,0.0018853,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,1830,0,0,0.014263,0.00057628,0.0028801,0.027907,0.012504,0.0054658,0.0043511,0,0.0023774,0.00050221,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
