ID,SPP,DBH,CC,BA,SWA,SWD,Multiplier
719,uk,32.5,C,829.58,420.4875594,4.838677632,0.721695774
747,uk,32,C,804.25,407.2068257,4.757986196,0.728647684
750,uk,31.8,C,794.23,401.9562005,4.725711032,0.731486842
2903,uk,31.5,C,779.31,394.1462876,4.677442887,0.735797961
120,uk,31.4,S,774.37,391.5605822,4.661334993,0.737253999
732,uk,30,C,706.86,356.2834026,4.43628422,0.758564736
2498,uk,29.2,C,669.66,336.8969634,4.308165675,0.771563521
716,uk,28.3,C,629.02,315.7566571,4.164265012,0.78698887
2497,uk,27.9,C,611.36,306.5881006,4.100533488,0.794119755
722,uk,27.4,C,589.65,295.3236715,4.020792427,0.803314855
729,uk,26.2,C,539.13,269.1771974,3.830225545,0.815075774
752,uk,25.4,C,506.71,252.441288,3.703538855,0.822530646
718,uk,24.8,C,483.05,240.2534171,3.608832959,0.828414883
746,uk,24.6,C,475.29,236.260036,3.577290277,0.830437402
745,uk,24.4,C,467.59,232.3012435,3.545821786,0.83248798
714,uk,24.3,C,463.77,230.3348118,3.529977324,0.833532355
713,uk,21.1,C,349.67,171.9567691,3.028834792,0.871613253
