Y,DOY,H,M,TIMESTAMP,RECORD,T1,T2,T3,T4,SBT1,SBT2,SBT3,SBT4
2015,131,21,15,5/11/15 21:15,148,-1.398743,-1.320862,-1.322839,-1.24978,-0.772998,-1.159763,-0.72164,-0.919458
2015,131,21,20,5/11/15 21:20,149,-1.361334,-1.262137,-1.290448,-1.198868,-0.7217865,-1.118414,-0.6692291,-0.8173859
2015,131,21,25,5/11/15 21:25,150,-1.351477,-1.287204,-1.258917,-1.24321,-0.7053833,-1.069235,-0.6532318,-0.764273
2015,131,21,30,5/11/15 21:30,151,-1.27182,-1.183063,-1.218124,-1.186017,-0.6940491,-1.001492,-0.6466614,-0.7347168
2015,131,21,35,5/11/15 21:35,152,-1.312326,-1.213104,-1.232071,-1.203534,-0.699585,-0.9580261,-0.6524566,-0.7312683
2015,131,21,40,5/11/15 21:40,153,-1.317395,-1.257889,-1.267084,-1.231207,-0.7368317,-0.9612091,-0.6912811,-0.7667999
2015,131,21,45,5/11/15 21:45,154,-1.310748,-1.288553,-1.245151,-1.235324,-0.7401673,-0.9893738,-0.6905121,-0.7717163
2015,131,21,50,5/11/15 21:50,155,-1.267966,-1.25852,-1.235458,-1.172656,-0.7356567,-1.002438,-0.6744019,-0.756781
2015,131,21,55,5/11/15 21:55,156,-1.264398,-1.233252,-1.218265,-1.1745,-0.6932953,-0.9648041,-0.6209534,-0.7031983
2015,131,22,0,5/11/15 22:00,157,-1.276001,-1.221893,-1.243503,-1.162384,-0.6849915,-0.9121277,-0.6144928,-0.6855194
2015,131,22,5,5/11/15 22:05,158,-1.305585,-1.26571,-1.235022,-1.210214,-0.6945373,-0.8916931,-0.6335449,-0.6961243
2015,131,22,10,5/11/15 22:10,159,-1.263361,-1.259311,-1.209558,-1.167334,-0.6806946,-0.9173401,-0.6260376,-0.7016876
2015,131,22,15,5/11/15 22:15,160,-1.232062,-1.24147,-1.264319,-1.156,-0.6339172,-0.9167725,-0.5729248,-0.6711456
2015,131,22,20,5/11/15 22:20,161,-1.30256,-1.362958,-1.331867,-1.210486,-0.6014435,-0.9360565,-0.5388733,-0.6763031
2015,131,22,25,5/11/15 22:25,162,-1.359921,-1.370523,-1.333389,-1.258981,-0.6253265,-0.9802979,-0.5671082,-0.6947724
2015,131,22,30,5/11/15 22:30,163,-1.404745,-1.405655,-1.342749,-1.321738,-0.6317383,-1.005078,-0.5715362,-0.6799316
2015,131,22,35,5/11/15 22:35,164,-1.333289,-1.288193,-1.246814,-1.154804,-0.6525909,-0.9749451,-0.5773438,-0.6378082
2015,131,22,40,5/11/15 22:40,165,-1.147455,-1.102704,-1.039752,-0.9900177,-0.5936524,-0.8099304,-0.492804,-0.4868652
2015,131,22,45,5/11/15 22:45,166,-1.108154,-1.029105,-1.004401,-0.945578,-0.5265564,-0.6275452,-0.3946991,-0.3335938
