"","x","y","tdiff"
"2227",453000,1110000,150865689.598583
"2228",461000,1110000,37525248.6151295
"2229",469000,1110000,-296199368.079006
"2230",477000,1110000,204393114.510766
"2231",485000,1110000,-187639813.252056
"2232",493000,1110000,234478027.939989
"2233",501000,1110000,607512275.70282
"2234",509000,1110000,145908037.425806
"2235",517000,1110000,-175499143.741345
"2236",525000,1110000,-161811550.470699
"2237",533000,1110000,222953774.985733
"2238",541000,1110000,1019075347.7929
"2239",549000,1110000,33925454.714401
"2240",557000,1110000,670423278.928779
"2241",565000,1110000,648733862.832701
"2242",573000,1110000,-41003654.5656722
"2243",581000,1110000,109533731.223813
"2244",589000,1110000,28580513.7537714
"2245",597000,1110000,132004456.751565
"2246",613000,1110000,-105940387.674302
"2247",621000,1110000,10054628.8588586
"2248",629000,1110000,-331459560.432527
"2249",637000,1110000,-348560949.540209
"2250",645000,1110000,-247262887.757143
"2251",653000,1110000,621478871.258225
"2252",677000,1110000,522007948.820388
"2253",685000,1110000,-286757881.473183
"2254",693000,1110000,-84155796.8237219
"2255",701000,1110000,-217175081.46637
"2256",709000,1110000,-199245962.851635
"2257",733000,1110000,621465961.697727
"2258",741000,1110000,982361672.88907
"2259",757000,1110000,-59364070.23897
"2260",765000,1110000,-263605343.664846
"2261",773000,1110000,-205070248.692477
"2262",781000,1110000,-295129870.862502
"2263",789000,1110000,-163852567.317501
"2264",797000,1110000,-422220607.680484
"2265",805000,1110000,-332420656.281564
"2266",813000,1110000,-229058864.104652
"2267",821000,1110000,158977354.652433
"2268",829000,1110000,-496672412.422243
"2269",837000,1110000,-228819152.551714
"2270",845000,1110000,-606532580.204067
"2271",853000,1110000,-41935826.0460153
"2272",861000,1110000,-116399259.643706
"2300",37000,1102000,542911098.632494
"2301",45000,1102000,50195426.9418167
"2302",53000,1102000,-82461884.7687181
"2303",61000,1102000,172918298.791468
"2304",93000,1102000,-168319807.654242
"2305",117000,1102000,537595820.017469
"2306",125000,1102000,88069446.7263819
"2307",141000,1102000,27006817.0761872
"2308",149000,1102000,323635977.045898
"2309",173000,1102000,372978264.257955
"2310",181000,1102000,114983373.334991
"2311",189000,1102000,-178638804.379725
"2312",197000,1102000,211464209.01815
"2313",205000,1102000,-181175210.27571
"2314",213000,1102000,343458554.507132
"2315",221000,1102000,130428905.470782
"2316",229000,1102000,-439385036.682265
"2317",237000,1102000,24814511.826333
"2318",245000,1102000,-307103356.373708
"2319",253000,1102000,156210775.951745
"2320",261000,1102000,-228996357.497552
"2321",269000,1102000,516455055.925331
"2322",277000,1102000,-83579859.7865631
"2323",285000,1102000,-59117352.8038649
"2324",293000,1102000,559568764.290285
"2325",301000,1102000,473556502.484348
"2326",309000,1102000,-361814099.793298
"2327",317000,1102000,-246411590.793693
"2328",325000,1102000,-156151703.756139
"2329",333000,1102000,664777684.271282
"2330",341000,1102000,-97226357.1991797
"2331",349000,1102000,593572905.660938
"2332",357000,1102000,521179815.485037
"2333",365000,1102000,184570675.163086
"2334",373000,1102000,177948005.686672
"2335",381000,1102000,583136660.775469
"2336",389000,1102000,311170648.089743
"2337",397000,1102000,-128975805.941587
"2338",405000,1102000,952204141.778667
"2339",413000,1102000,92996436.2364492
"2340",421000,1102000,387963403.93903
"2341",429000,1102000,-63144941.5869348
"2342",437000,1102000,372628162.601085
"2343",445000,1102000,215219453.627958
"2344",453000,1102000,-50861886.1430101
"2345",461000,1102000,-18594247.4227861
"2346",469000,1102000,344693531.716755
"2347",477000,1102000,-37608832.8684626
"2348",485000,1102000,-61085276.7634607
"2349",493000,1102000,-70985888.5330632
"2350",501000,1102000,1032022058.21038
"2351",509000,1102000,111316807.185433
"2352",517000,1102000,-47652255.4037171
"2353",525000,1102000,349535378.532919
"2354",533000,1102000,692177948.948431
"2355",541000,1102000,-17004274.4210635
"2356",549000,1102000,295556992.647419
"2357",557000,1102000,388808404.499338
"2358",565000,1102000,137625597.266394
"2359",573000,1102000,174325560.350627
"2360",581000,1102000,243522535.067299
"2361",589000,1102000,-176253009.406045
"2362",597000,1102000,-295376990.600584
"2363",605000,1102000,-31660627.5000914
"2364",613000,1102000,-221649372.328787
"2365",621000,1102000,46565559.514185
"2366",629000,1102000,-387225709.998955
"2367",637000,1102000,-199730817.251149
"2368",645000,1102000,-222741347.929349
"2369",653000,1102000,-306362700.237713
"2370",661000,1102000,359129086.38586
"2371",669000,1102000,24005907.8543716
"2372",677000,1102000,-74178430.8673896
"2373",685000,1102000,-414833673.683243
"2374",693000,1102000,-167799005.349185
"2375",701000,1102000,-48533021.006271
"2376",709000,1102000,355991269.654867
"2377",717000,1102000,497151720.655066
"2378",725000,1102000,519644257.426877
"2379",733000,1102000,-296785443.064466
"2380",741000,1102000,1156707149.94306
"2381",749000,1102000,-61382127.1007185
"2382",765000,1102000,293064305.176575
"2383",773000,1102000,-479322670.816451
"2384",781000,1102000,-383279769.617891
"2385",789000,1102000,-486934722.13758
"2386",797000,1102000,-261273202.289469
"2387",805000,1102000,304856815.921137
"2388",821000,1102000,-68739356.721916
"2389",829000,1102000,-1988539.76756005
"2390",837000,1102000,-169340771.224056
"2391",845000,1102000,352461209.376308
"2392",853000,1102000,-278084472.252211
"2393",861000,1102000,-274001118.358819
"2394",869000,1102000,-109914475.796234
"2395",877000,1102000,42001949.1243412
"2396",885000,1102000,-912853352.086126
"2397",893000,1102000,-11359876.229595
"2398",917000,1102000,230953212.556567
"2399",933000,1102000,-48013637.3403248
"2426",29000,1094000,40117675.0842654
"2427",45000,1094000,133333329.46769
"2428",117000,1094000,-98631945.663243
"2429",125000,1094000,-84779148.9646432
"2430",133000,1094000,803821483.918851
"2431",141000,1094000,270771336.231902
"2432",149000,1094000,199160225.759614
"2433",157000,1094000,24510316.4170882
"2434",173000,1094000,135945337.894858
"2435",189000,1094000,469072793.894955
"2436",197000,1094000,66927879.1189234
"2437",205000,1094000,103933498.619106
"2438",213000,1094000,506890107.043289
"2439",221000,1094000,861189380.070774
"2440",229000,1094000,-44246063.9422939
"2441",237000,1094000,-330379836.144814
"2442",245000,1094000,201012594.442021
"2443",261000,1094000,306766459.93394
"2444",269000,1094000,337365718.961532
"2445",285000,1094000,557732781.959262
"2446",293000,1094000,288430941.400432
"2447",301000,1094000,369646485.416273
"2448",309000,1094000,257168279.872817
"2449",317000,1094000,-74946518.034243
"2450",325000,1094000,340610969.452205
"2451",333000,1094000,238553029.792643
"2452",341000,1094000,95603054.1175396
"2453",349000,1094000,187919900.236525
"2454",357000,1094000,-297327331.7001
"2455",365000,1094000,548733342.514613
"2456",373000,1094000,308172808.037787
"2457",381000,1094000,345038555.404605
"2458",389000,1094000,637398218.175335
"2459",397000,1094000,203060982.173551
"2460",405000,1094000,257208756.431447
"2461",413000,1094000,214513538.806619
"2462",421000,1094000,25381220.6771731
"2463",429000,1094000,492183533.828869
"2464",437000,1094000,84836497.2221143
"2465",445000,1094000,-42694640.6745372
"2466",453000,1094000,58984717.5304047
"2467",461000,1094000,375370194.975973
"2468",469000,1094000,222304508.360441
"2469",477000,1094000,-301587792.14355
"2470",485000,1094000,605429286.115776
"2471",493000,1094000,-240181048.030647
"2472",501000,1094000,292699090.840065
"2473",509000,1094000,1126367074.58271
"2474",517000,1094000,678767388.407636
"2475",525000,1094000,-118427520.00388
"2476",533000,1094000,611019420.817667
"2477",541000,1094000,1098456247.4404
"2478",549000,1094000,347873786.708595
"2479",557000,1094000,469951930.1401
"2480",565000,1094000,519506119.764156
"2481",573000,1094000,267279185.027748
"2482",581000,1094000,12427718.1445818
"2483",589000,1094000,84604836.187589
"2484",605000,1094000,-101418493.990751
"2485",613000,1094000,148819608.20763
"2486",621000,1094000,99861551.7464364
"2487",629000,1094000,108002796.264152
"2488",637000,1094000,-162051937.405027
"2489",645000,1094000,-225705359.254214
"2490",653000,1094000,-73912393.4397181
"2491",661000,1094000,-522922156.002408
"2492",669000,1094000,405740186.306423
"2493",677000,1094000,-55682310.5630206
"2494",685000,1094000,-198778261.637481
"2495",693000,1094000,16199916.9868201
"2496",701000,1094000,371415400.308659
"2497",717000,1094000,-582466354.991632
"2498",725000,1094000,1378129838.04609
"2499",733000,1094000,661886556.610988
"2500",741000,1094000,615174340.309396
"2501",749000,1094000,618625235.144271
"2502",757000,1094000,-57649501.1520166
"2503",773000,1094000,-153600328.0182
"2504",781000,1094000,-180740753.691953
"2505",797000,1094000,-116660670.946086
"2506",805000,1094000,-164913.960315347
"2507",813000,1094000,-360924596.796784
"2508",821000,1094000,-183614373.54277
"2509",829000,1094000,-106799066.990348
"2510",837000,1094000,-179799173.58471
"2511",845000,1094000,-347297617.575347
"2512",853000,1094000,-234204356.450159
"2513",861000,1094000,-320307994.141317
"2514",869000,1094000,372481537.548614
"2515",877000,1094000,6288393.90542561
"2516",885000,1094000,406039080.033287
"2517",893000,1094000,174153203.203974
"2518",901000,1094000,368331687.285611
"2519",925000,1094000,-351105940.184944
"2548",5000,1086000,353216934.863606
"2549",21000,1086000,275423416.462787
"2550",37000,1086000,217417320.065684
"2551",53000,1086000,252084282.471939
"2552",93000,1086000,-64515336.0076506
"2553",101000,1086000,157342014.818136
"2554",117000,1086000,155578775.772378
"2555",149000,1086000,70414937.9543036
"2556",165000,1086000,-144374021.762074
"2557",181000,1086000,-28250580.3036356
"2558",189000,1086000,212890935.967602
"2559",197000,1086000,-8100762.65673012
"2560",205000,1086000,470890113.133186
"2561",213000,1086000,-13501881.6329196
"2562",221000,1086000,-120100807.052466
"2563",245000,1086000,292748861.177609
"2564",261000,1086000,320932732.256555
"2565",269000,1086000,442764481.120902
"2566",277000,1086000,140189522.765823
"2567",285000,1086000,50216077.5645217
"2568",293000,1086000,574638034.604202
"2569",309000,1086000,17695671.5906325
"2570",317000,1086000,433493942.67892
"2571",325000,1086000,87476541.5982741
"2572",333000,1086000,1078789324.16542
"2573",341000,1086000,475886518.469502
"2574",349000,1086000,96682779.2183587
"2575",357000,1086000,400868431.318778
"2576",365000,1086000,559642545.198283
"2577",373000,1086000,111359427.836818
"2578",381000,1086000,258088344.185645
"2579",389000,1086000,-413385040.81114
"2580",397000,1086000,98164286.3177863
"2581",405000,1086000,203002016.788054
"2582",413000,1086000,578705872.870934
"2583",421000,1086000,286649240.778355
"2584",429000,1086000,552952619.433174
"2585",437000,1086000,121978881.382428
